#name               W,GeV         dW,GeV         Sw,GeV        dSw,GeV        L,pb^-1       dL,pb^-1  run list
J1               3.087593       0.000125       0.001287       0.000079       2.501660       0.015241  55060-55065
J2               3.095726       0.000077       0.001058       0.000075       2.965350       0.016473  55066-55073
J3               3.096203       0.000069       0.001132       0.000068       5.105880       0.022093  55074-55083
J4               3.096986       0.000083       0.001009       0.000107       3.073060       0.017156  55084-55088
J5               3.097226       0.000099       0.001270       0.000094       1.706790       0.012534  55089-55091
J6               3.097654       0.000082       0.001047       0.000074       4.787310       0.021509  55092-55097
J7               3.098728       0.000078       0.001183       0.000080       5.751020       0.023835  55098-55103
J8               3.104000       0.000082       0.001010       0.000080       5.839800       0.024226  55104-55109
T1               3.538957       0.000159       0.001387       0.000073      23.779600       0.054000  55115-55139 55143-55155
T1p              3.550828       0.000028       0.001142       0.000188       3.995100       0.021000  55157-55161
T2               3.552810       0.000045       0.001561       0.000104      42.569800       0.072000  55162-55177 55179-55199
T3               3.553897       0.000018       0.001460       0.000073      27.145800       0.057000  55200-55231
T4               3.560285       0.000026       0.001287       0.000152       9.175500       0.032000  55232-55239
T5               3.599524       0.000051       0.001521       0.000174      15.019600       0.043000  55240-55257
T5p              3.601385       0.000110       0.001479       0.000110      14.860600       0.043000  55347-55361
P1               3.675442       0.000191       0.001540       0.000122       5.090760       0.024955  55258-55263
P2               3.683193       0.000096       0.001526       0.000092      16.316500       0.045470  55264-55276
P4               3.684193       0.000115       0.001410       0.000111       2.208369       0.016323  55286 55288
P3               3.684393       0.000201       0.001742       0.000202       3.320900       0.019330  55278-55285
P5               3.685306       0.000101       0.001199       0.000102       4.666240       0.023174  55289-55294
P6               3.685833       0.000095       0.001436       0.000092       6.871250       0.028198  55295-55308
P7               3.686302       0.000096       0.001477       0.000091       6.203920       0.026570  55309-55318
P8               3.687305       0.000101       0.001465       0.000094       5.242190       0.024557  55319-55325
P9               3.687993       0.000096       0.001369       0.000090       5.244280       0.024606  55326-55332
P10              3.689773       0.000098       0.001575       0.000090       6.129350       0.026689  55333-55339
P11              3.694027       0.000098       0.001367       0.000099       5.118420       0.024237  55340-55346
