run_number	IntLumEndcapEE	startTime	endTime	2*sqrt(BPR_PRB*BER_PRB)*cos(0.022/2)*1000.	BER_PRB*1000	BPR_PRB*1000	S_R3O_BI_DCCT_current	E_R3O_BI_DCCT_current	S_R4O_BI_DCCT_current	E_R4O_BI_DCCT_current
55060	735.765	2018-04-14 22:19:39	2018-04-14 23:02:12	3096.3174545926	1548.0188308405	1548.4859956432	591.833994	413.140556092	607.458695809	442.66937614
55061	53.6385	2018-04-14 23:12:46	2018-04-14 23:16:15	3096.1954124676	1548.0755060903	1548.3072443162	614.122124778	0.18601852188	593.099748052	574.893322941
55062	833.49	2018-04-14 23:41:54	2018-04-14 23:49:24	3096.143084244	1548.0188308405	1548.311593345	613.898488342	580.183004012	601.925876959	568.833885181
55063	816.399	2018-04-15 01:02:23	2018-04-15 01:49:38	3096.1343816843	1548.1321813861	1548.1895264036	604.693669476	405.207186618	599.905588128	423.320769549
55064	24.606	2018-04-15 01:53:49	2018-04-15 01:56:48	3096.1954097514	1548.1321813861	1548.250559895	388.508785914	378.74703747	411.702755499	405.666157344
55066	87.1935	2018-04-15 02:35:35	2018-04-15 02:40:36	3104.1328780994	1551.9543722282	1552.3663427151	609.410128688	0.36622998166	598.726360205	573.44412485
55067	534.986	2018-04-15 03:41:06	2018-04-15 04:15:57	3104.0718587593	1552.0110490922	1552.2486245741	521.092049278	390.0398369	535.635905562	412.066076264
55068	71.1166	2018-04-15 04:22:17	2018-04-15 04:31:17	3104.0064839073	1552.0677260024	1552.1265603231	366.761293318	338.559585932	393.512690387	373.863989497
55069	37.3535	2018-04-15 05:05:58	2018-04-15 05:08:41	3104.1895337484	1552.0720447943	1552.3053106537	531.703652204	0.18296558632	538.831337347	524.018716555
55070	31.7815	2018-04-15 06:52:14	2018-04-15 06:54:32	3104.2505564396	1552.1287217045	1552.3096566355	592.41720196	0.12563768486	611.729239115	597.546910929
55071	800.408	2018-04-15 09:28:12	2018-04-15 10:16:11	3104.3115788733	1552.0720447943	1552.4273747337	605.043073888	397.071735786	610.275332242	404.269017454
55072	855.277	2018-04-15 10:31:23	2018-04-15 11:23:55	3104.2462109709	1552.1287217045	1552.3053106537	610.731753178	381.904025816	620.35747844	381.561218104
55073	609.848	2018-04-15 11:37:52	2018-04-15 11:48:48	3104.2462109709	1552.1287217045	1552.3053106537	603.485764534	552.228649652	613.448608604	551.637453563
55074	922.929	2018-04-15 12:23:56	2018-04-15 13:17:39	3104.8346662741	1552.3640669659	1552.6584652328	604.751049614	390.69759701	624.068541977	382.103311601
55075	411.532	2018-04-15 13:30:55	2018-04-15 13:51:56	3104.8913447503	1552.4207440147	1552.6584652328	600.170985812	507.373032684	589.597299656	499.693752433
55076	44.6297	2018-04-15 13:53:45	2018-04-15 14:23:11	3104.7169593833	1552.4207440147	1552.4840608607	499.077049558	391.78946078	491.837552126	393.14184362
55077	422.202	2018-04-15 14:35:09	2018-04-15 14:55:30	3104.8303205394	1552.4207440147	1552.5974332571	611.400941282	513.554896962	589.438327956	485.736600617
55078	426.592	2018-04-15 14:57:34	2018-04-15 15:24:13	3104.7082591892	1552.4774211098	1552.4186829551	502.372754938	410.952585584	474.274097111	365.55884506
55079	807.832	2018-04-15 15:37:51	2018-04-15 16:19:52	3104.8346662741	1552.3640669659	1552.6584652328	604.502015412	427.102502618	610.403093169	405.361776846
55080	834.225	2018-04-15 16:31:33	2018-04-15 17:17:36	3104.9523639635	1552.3640669659	1552.7761834351	607.357032526	411.518221252	611.081338884	395.643776456
55081	853.672	2018-04-15 17:29:44	2018-04-15 18:13:34	3104.7779519379	1552.4817396148	1552.4840608607	606.659484584	428.551396134	616.891633781	392.528776302
